,PRCP,PRCP_3d,PRCP_5d,TMAX_5d
153,0.29456258,-0.5490436,0.63653123,1.5456918
154,0.32468864,-0.6884342,-0.04017596,-0.21590742
155,0.42222455,0.7898416,-0.43379778,-1.1341205
156,0.21272852,0.7550054,0.871001,-1.2368695
157,0.45947173,-0.7128403,-0.65368485,-0.28230748
158,0.256416,1.1032279,0.9675464,0.9998919
159,-0.6901007,-0.42954603,0.8053982,-0.71806896
160,0.32468864,0.82461214,-0.07103708,-0.04583508
161,0.42222455,0.90052885,-0.5198748,-0.99328136
162,-0.812038,-0.52688,-0.9930288,0.26753244
163,0.45947173,-0.5256344,-0.55094147,-0.80462897
164,0.46459332,0.35857737,-0.65202665,0.45424432
165,0.24678597,1.1835595,1.0219119,0.7674945
166,-0.042280745,-0.60662013,-0.7784877,1.3531003
167,0.34080723,1.2436391,-0.13776217,0.36231655
168,0.430536,-0.39097822,-0.54793274,-0.8388099
169,0.27704495,0.19759877,0.6968898,1.090212
170,0.2524901,1.1032279,0.9675464,0.9656078
171,0.21085973,0.76474506,0.3848236,-1.2048826
172,0.21272852,0.7525963,0.857081,-1.3194045
173,-1.0137687,-0.52798367,0.9661607,1.0177855
174,0.23021905,1.1842247,0.51582515,0.61470073
175,0.21272852,1.2410437,1.0327759,0.1653303
176,-1.1612813,-0.774604,-0.92623216,-0.27713257
177,-1.149208,-0.44549012,-0.84782255,-0.7072392
178,0.29643136,1.07975,0.9675464,1.4296755
179,0.430536,-0.7327361,-0.70078164,-0.23570977
180,-0.042280745,-0.60662013,-0.7784877,1.3531003
181,0.29456258,0.99964327,0.53894496,1.6056474
182,0.2968946,-0.50254405,0.63703007,1.5456918
183,0.34283128,-0.45857105,-0.00708222,-0.61275107
184,0.032729242,0.28947693,0.59105086,-0.13437083
185,-1.1908625,-0.7051512,-0.87558234,-0.6346457
186,0.041012377,0.6207898,1.1595213,0.47416714
187,0.29643136,0.2098114,0.9659776,1.2957078
188,-0.023189299,-0.7246947,-0.62606215,-0.36761904
189,0.21272852,0.7525963,0.857081,-1.3194045
190,0.21383876,0.4237353,0.5362899,-1.2425642
191,0.45947173,-0.5136661,-0.6501003,-0.6149659
192,0.21272852,1.2418525,0.9925186,0.21743853
193,0.21272852,0.7525963,0.857081,-1.3194045
194,0.21085973,-0.12543441,0.37554792,-1.1340216
195,0.45947173,-0.9096076,-0.675555,-0.38477615
196,0.24678597,1.1835595,1.0219119,0.7674945
197,0.45947173,-0.9096076,-0.675555,-0.38477615
198,0.21272852,0.5471311,0.8955709,-1.2225958
199,0.29643136,0.99785656,0.9498908,1.5292244
200,0.21085973,1.2428303,0.46014556,0.080069356
201,0.024893822,0.17719346,1.002461,-1.0426673
202,0.29456258,-0.5490436,0.63653123,1.5456918
203,0.2524901,1.1835595,1.0219119,0.8309109
204,0.24678597,1.1835595,1.0219119,0.7674945
205,0.45947173,-0.6239244,-0.55094147,-0.79507315
206,0.21383876,-0.57145137,0.78514135,-0.20347404
207,0.21272852,1.2410437,1.0327759,0.1653303
208,-0.31483102,-0.3690565,0.7933139,-0.9491341
209,0.45947173,-0.704224,-0.58592254,-0.67979264
210,0.45947173,-0.71364915,-0.6720475,-0.3930356
211,0.430536,-0.39097822,-0.54793274,-0.8388099
212,0.47029752,-0.6405983,-0.6749736,0.7008063
213,0.02194033,0.31690598,-0.7410943,0.7680635
214,0.21272852,0.5219635,1.0462594,-0.7203419
215,-0.6901007,-0.3690565,0.7919479,-0.9015908
216,0.21272852,0.7525963,0.857081,-1.3194045
217,0.21085973,0.76474506,0.3848236,-1.2048826
218,0.032729242,-0.38709593,0.63791233,-0.69560504
219,0.5431745,-0.57344973,-0.67038757,1.4387896
220,-0.46643308,-0.4074776,1.1255108,1.3593665
221,0.2524901,0.51910514,0.98238665,0.821834
222,-1.0137687,-0.49473032,0.9702479,1.254224
223,0.21272852,0.9270851,0.9124254,-0.8590108
224,0.51657087,-0.5468461,-0.67038757,1.4387896
225,0.29643136,0.5208738,0.96473104,1.4925905
226,-1.1908625,-0.68487936,-0.85133004,-0.6791699
227,0.430536,0.239748,-0.5302056,-0.91764104
228,0.256416,1.1032279,0.9675464,0.9998919
229,0.27406594,-0.50904363,0.632444,1.0649661
230,-0.39862946,-0.43944332,1.1214235,0.7178414
231,0.22884707,1.2418525,1.051012,0.50400984
232,0.032729242,-0.66595966,0.6806165,-0.25508013
233,0.32468864,0.75438297,-0.054662675,-1.1840675
234,0.32468864,-0.48385936,0.037564624,-0.70837706
235,0.32468864,0.0964779,-0.061590426,-0.88079983
236,0.4083915,1.0815365,-0.11195413,1.3972559
237,0.21272852,0.7550054,0.871001,-1.2368695
238,0.430536,0.90052885,-0.52818626,-0.99328136
239,-0.0021136967,-0.11570676,0.83613163,1.1145254
240,-0.77393854,-0.5113803,-0.9491229,-0.54660594
241,-1.1908625,-0.97056246,-0.9759436,-0.26887313
242,0.21319172,-0.64274347,0.55823094,-0.36327255
243,0.52973676,-0.6207025,-0.6744748,1.001525
244,-1.5145302,-0.6344047,-0.9707762,1.1473216
245,0.21272852,0.7525963,0.857081,-1.3194045
246,-0.042280745,-0.7438719,-0.7860824,1.1090357
247,0.43286803,-0.42117217,-0.5474339,-0.8231425
